frame,localization_status,ocr_text,ocr_confidence
train_011.jpg,DIRECT,"1 | 2 | 3 14 L5 LC | TtC | J | X | 5==74- | 0 | 15 | 20 | 2] | 3] | 31 | 8 -3-1718 1 | 0 | 8 | # | 19 | 28 | 28 | P | X1479-6 | 0 | 20 | 89) | 48 | 54 | 54 | 61/1 , | 18-B | 0 | 7 | 25 | 3 | 3 | 2.5",0.8473
train_012.jpg,DIRECT,"1 | 12 | 31415 | 16 | TtC | J | X | 5==74- | 0 | 15 | 20 | 2] | 3] | 31 | 8 -3-1718 1 | 0 | 8 | # | 19 | 28 | 28 | P | X1479-6 | S | 0 | 20 | 39) | 48 | 54 | 54 | T | 61/1 , | 18-B | 0 | 7 | 25 | 3 | 3 | 7 5",0.8159
train_013.jpg,TRACKED-HOLD (1),L | 1 | PEN,0.3532
train_014.jpg,DIRECT,7 | 5 | OPEN,0.3325
train_015.jpg,DIRECT,1 | 2 | 3 | 1 4 5 | 6 I 7 | 8 | 9 | 10 | TtL | U | X | 5- | 714- | 0 | 15 | 20 | 27 | 31 | 3 | V | 8=3=7T81 | 0 | 8 | # | 19 | 28 | 28 | P | X | 479-6 | S | 0 | 20 | 3) | 48 | 54 | 54 | 61 78 =b4 | 0 | 7 | 25 | 33 | 40 | 40 | 2.44,0.8094
train_016.jpg,DIRECT,F1 | 2 | 3 1 45 | 6 | 7 8 | 9 | 10 | TtC | J | X | 5-1-74- | 0 | 15 | 20 | 27 | 31 | 3 | V | 8-=3-17181 | 0 | 8 | # | 19 | 28 | 28 | P | X1479-6 = | 0 | 20 | 3) | 48 | 54 | 54 | 61n 78 =34 | 0 | 7 | 25 | 33 | 40 | 40 | 74,0.7942
train_017.jpg,DIRECT,1 | 2 | 3 | 14 | 5 | 6 |7 | 8 | 9 | 10 | TtC | U | X | 5-| | 714- | 0 | 15 | 20 | 27 | 31 | 3 | V | 8-3-781 | 0 | 8 | # | 19 | 28 | 28 | P | X479-6 | 0 | 20 | 3) | 48 | 54 | 54 | T | 61n 78 =34 | 0 | 7 | 25 | 33 | 40 | 40 | 2.44,0.7961
train_018.jpg,DIRECT,2 | 3 | 4 | 5 | 6 | 7 | 8 | | 9 | 10 | TtL | J | X | 5- | 714- | 0 | 15 | 20 | 27 | 31 | 3 | V | 8 =3=7181 | 0 | 8 | # | 19 | 28 | 28 | P | X | 479-6 | 0 | 20 | 3) | 48 | 54 | 54 | 61n 78=34 | 0 | 7 | 25 | 33 | 40 | 40 | 2.4 | F1,0.7899
train_019.jpg,DIRECT,1 12 13L4L5L6LZ | 8 | 9 | 10 | TtC | J | X | 5==74-X | 0 | 15 | 20 | 2] | 3] | 41 | 8-B-17181 | 0 | 8 | 11 | 0 | 28 | 28 | P | X | 479= | 0 | 20 | 39) | 48 | 54 | 54 | 61n 78 =34 | 0 | 7 | 25 | 33 | 40 | 40 | 23,0.8109
train_020.jpg,TRACKED-HOLD (1),3 | Ja,0.1249
train_021.jpg,TRACKED-HOLD (2),0 | 2 | ~ | A,0.411
train_022.jpg,LOST,,0.0
train_023.jpg,DIRECT,[YE | STRRy,0.4864
train_024.jpg,DIRECT,1 | 12 | 314151617 | 8 | 9 | 10 | TtC | J | X | 5-F74-X | 0 | 15 | 20 | 2] | 3] | 41 | 8-B-17181 | 0 | 8 | 11 | 0 | 28 | 28 | P | X | 479- | 0 | Z0 | 3) | 48 | 54 | 54 | 6 1n Z | 8 =34 | 0 | 7 | 25 | 33 | 40 | 40 | 73,0.8077
train_025.jpg,DIRECT,1 | 2 | 314 L51617L8 E | 9 | 10 | TtC | J | X | 5-F=74-X | 0 | 15 | 20 | 2] | 3] | 41 | 8-1-17181 | 0 | 8 | 11 | 0 | 28 | 28 | P | X | 479= | 0 | 20 | 3) | 48 | 54 | 54 | T | 61n 78 -34 | 0 | 7 | 25 | 33 | 40 | 40 | 73,0.836
train_026.jpg,TRACKED-HOLD (1),BrunswickB,0.9257
train_027.jpg,TRACKED-HOLD (2),BrunswickB,0.9005
train_028.jpg,DIRECT,1 | 2 | 31 4 15 1617 | 8 | 9 | 10 | TtC | J | X | 5-=74-X | 0 | 15 | 20 | 2] | 3] | 41 | 8-3-17181/9 | 0 | 8 | 11 | 0 | 28 | 37 | P | X | 479= | 0 | 20 | 39) | 48 | 54 | 54 | 6 1n Z | 8 =34 | 0 | 7 | 25 | 33 | 40 | 40 | 23,0.8162
train_029.jpg,DIRECT,1 | 2 | 314 151617 | 8 | 9 | 10 | TtC | X | 5 ==74-X | 0 | 15 | 20 | Z] | 3] | 41 | 8-B-17181/9 | 0 | 8 | 11 | n | 28 | 37 | P | X | 479- | 0 | Z0 | 3) | 48 | 54 | 54 | 6 1n Z | 8 =34 | 0 | 7 | 25 | 3 | 40 | 40 | 23,0.7686
